Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Gas,PJM,54829.0,9.5,40.475724,-74.446199,311385.267,57816.0,3.36,18.096279526774595
Gas,PJM,58136.0,1.8,42.362222,-89.803611,209502.736,38443.0,3.36,18.310984911687434
Gas,PJM,58136.0,5.0,42.362222,-89.803611,209502.736,38443.0,3.36,18.310984911687434
Gas,PJM,10224.0,4.5,40.615616,-74.26529,233188.326,42309.0,3.36,18.51882047223995
Gas,PJM,10224.0,10.8,40.615616,-74.26529,233188.326,42309.0,3.36,18.51882047223995
Gas,PJM,50397.0,7.5,39.870935,-76.868117,2264129.806,410556.092,3.36,18.529687651450068
Gas,PJM,50397.0,5.1,39.870935,-76.868117,2264129.806,410556.092,3.36,18.529687651450068
Gas,PJM,50397.0,6.0,39.870935,-76.868117,2264129.806,410556.092,3.36,18.529687651450068
Gas,PJM,54250.0,1.8,40.013993,-75.05283,46384.888,8383.0,3.36,18.591581018728377
Gas,PJM,50326.0,4.0,41.800909,-88.197156,92862.307,16715.0,3.36,18.6669070607239
Gas,PJM,57908.0,11.9,39.134533,-84.509419,1255872.445,225958.96,3.36,18.674769149229576
Gas,PJM,57908.0,11.9,39.134533,-84.509419,1255872.445,225958.96,3.36,18.674769149229576
Gas,PJM,57908.0,21.5,39.134533,-84.509419,1255872.445,225958.96,3.36,18.674769149229576
Gas,PJM,50628.0,30.5,39.84,-75.2583,1876780.42,336201.91,3.36,18.75653297508036
Gas,PJM,50411.0,3.5,40.73928,-74.187633,130609.512,23369.001,3.36,18.779063782829223
Gas,PJM,50411.0,3.5,40.73928,-74.187633,130609.512,23369.001,3.36,18.779063782829223
Gas,PJM,50411.0,3.5,40.73928,-74.187633,130609.512,23369.001,3.36,18.779063782829223
Gas,PJM,54335.0,2.5,40.9692,-81.7756,78157.234,13933.08,3.36,18.84782878157593
Gas,PJM,50463.0,2.6,41.574259,-76.043233,4767265.499,847741.0,3.36,18.894936161681457
Gas,PJM,50463.0,64.0,41.574259,-76.043233,4767265.499,847741.0,3.36,18.894936161681457
Gas,PJM,50463.0,53.6,41.574259,-76.043233,4767265.499,847741.0,3.36,18.894936161681457
Gas,PJM,50366.0,5.0,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50366.0,1.7,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50366.0,5.4,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50366.0,3.0,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50366.0,2.0,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50366.0,9.4,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50366.0,5.4,41.7094,-86.2367,491919.193,87246.195,3.36,18.944648399623613
Gas,PJM,50456.0,12.5,39.175,-84.5042,53010.925,9375.41,3.36,18.99828466168413
Gas,PJM,58328.0,7.2,42.306389,-87.851944,203955.633,35957.0,3.36,19.058623547014488
Gas,PJM,58328.0,5.2,42.306389,-87.851944,203955.633,35957.0,3.36,19.058623547014488
Gas,PJM,50316.0,2.0,40.846525,-84.933264,49024.714,8620.0,3.36,19.109401280742457
Gas,PJM,52152.0,46.4,36.6803,-76.9128,1262754.595,222003.0,3.36,19.11170317157876
Gas,PJM,52148.0,7.2,38.3836,-78.6528,74555.597,13047.0,3.36,19.20033769602207
Gas,PJM,52148.0,1.2,38.3836,-78.6528,74555.597,13047.0,3.36,19.20033769602207
Gas,PJM,52148.0,0.4,38.3836,-78.6528,74555.597,13047.0,3.36,19.20033769602207
Gas,PJM,52148.0,1.2,38.3836,-78.6528,74555.597,13047.0,3.36,19.20033769602207
Gas,PJM,61838.0,0.5,41.5094,-81.682272,10609.207,1847.0,3.36,19.2999109474824
