Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Solar Photovoltaic,PJM,64010,13.0,37.671,-77.17,,25526.0,0.0,0.0
Solar Photovoltaic,PJM,63992,2.0,41.10341,-87.97498,,1914.0,0.0,0.0
Solar Photovoltaic,PJM,63991,2.0,41.207388,-87.837817,,2936.0,0.0,0.0
Solar Photovoltaic,PJM,63990,2.0,42.215163,-88.920643,,4052.0,0.0,0.0
Solar Photovoltaic,PJM,63989,2.0,41.070396,-87.78887,,3393.0,0.0,0.0
Solar Photovoltaic,PJM,64015,20.0,37.5064,-78.381,,39757.0,0.0,0.0
Solar Photovoltaic,PJM,64086,20.0,37.365615,-76.775123,,1854.0,0.0,0.0
Solar Photovoltaic,PJM,64180,2.0,39.59535,-79.387898,,3848.0,0.0,0.0
Solar Photovoltaic,PJM,64169,130.2,35.928188,-76.620452,,215845.0,0.0,0.0
Solar Photovoltaic,PJM,64158,25.0,37.665975,-77.207725,,52379.0,0.0,0.0
Solar Photovoltaic,PJM,64195,1.1,40.32358,-74.64994,,1526.0,0.0,0.0
Solar Photovoltaic,PJM,64194,1.4,40.3147,-74.65551,,1960.0,0.0,0.0
Solar Photovoltaic,PJM,64144,80.0,35.9,-77.64,,177833.0,0.0,0.0
Solar Photovoltaic,PJM,64101,3.0,40.73998,-75.27774,,4481.0,0.0,0.0
Solar Photovoltaic,PJM,64097,15.0,41.75,-85.45,,26898.0,0.0,0.0
Solar Photovoltaic,PJM,64096,1.1,39.78736,-75.24615,,1641.0,0.0,0.0
Solar Photovoltaic,PJM,64093,20.0,38.077,-76.786,,34645.0,0.0,0.0
Solar Photovoltaic,PJM,63954,2.0,41.54863,-89.15986,,2948.0,0.0,0.0
Solar Photovoltaic,PJM,64136,42.0,36.942634,-79.192804,,74174.0,0.0,0.0
Solar Photovoltaic,PJM,64135,20.0,36.65,-76.35,,40998.0,0.0,0.0
Solar Photovoltaic,PJM,63621,2.0,41.96455,-88.66696,,4067.0,0.0,0.0
Solar Photovoltaic,PJM,63951,2.0,42.35681,-89.88398,,3868.0,0.0,0.0
Solar Photovoltaic,PJM,63746,15.0,36.79,-76.67,,20737.0,0.0,0.0
Solar Photovoltaic,PJM,63745,80.0,36.64,-77.57,,129312.0,0.0,0.0
Solar Photovoltaic,PJM,63773,20.0,39.849241,-77.929148,,37867.0,0.0,0.0
Solar Photovoltaic,PJM,63768,15.0,39.799589,-77.811561,,27708.0,0.0,0.0
Solar Photovoltaic,PJM,63654,1.1,38.911287,-76.894882,,1934.0,0.0,0.0
Solar Photovoltaic,PJM,63626,1.5,40.18933,-74.65676,,1963.0,0.0,0.0
Solar Photovoltaic,PJM,63698,2.3,40.172415,-74.023243,,4472.0,0.0,0.0
Solar Photovoltaic,PJM,63696,19.9,38.007488,-76.744034,,47181.0,0.0,0.0
Solar Photovoltaic,PJM,63691,3.3,40.216382,-79.647108,,3607.0,0.0,0.0
Solar Photovoltaic,PJM,63904,1.9,39.447,-76.63,,3117.0,0.0,0.0
Solar Photovoltaic,PJM,63903,4.3,39.625172,-77.860901,,8051.0,0.0,0.0
Solar Photovoltaic,PJM,63909,60.0,36.807131,-78.509769,,0.0,0.0,0.0
Solar Photovoltaic,PJM,63910,79.6,39.178761,-75.960905,,159750.0,0.0,0.0
Solar Photovoltaic,PJM,63949,2.0,41.92219,-88.68876,,3869.0,0.0,0.0
Solar Photovoltaic,PJM,63948,2.0,41.108211,-87.726108,,3087.0,0.0,0.0
Solar Photovoltaic,PJM,63917,3.5,38.819244,-77.018944,,5482.0,0.0,0.0
Solar Photovoltaic,PJM,63801,20.0,41.7311,-86.1083,,32401.0,0.0,0.0
Solar Photovoltaic,PJM,63786,20.0,40.28,-74.1,,34471.0,0.0,0.0
Solar Photovoltaic,PJM,63838,100.0,42.432863,-89.906865,,13961.0,0.0,0.0
Solar Photovoltaic,PJM,63825,1.6,41.455,-87.752,,2508.0,0.0,0.0
Solar Photovoltaic,PJM,63824,2.0,42.339141,-89.198015,,4162.0,0.0,0.0
Solar Photovoltaic,PJM,63823,2.0,41.327123,-87.61052,,3500.0,0.0,0.0
Solar Photovoltaic,PJM,63077,13.8,37.018427,-78.581272,,25549.0,0.0,0.0
Solar Photovoltaic,PJM,63076,79.9,36.486428,-77.534825,,141008.0,0.0,0.0
Solar Photovoltaic,PJM,62328,5.0,35.829426,-76.790764,,10461.0,0.0,0.0
Solar Photovoltaic,PJM,62327,5.0,38.772107,-76.973379,,8078.0,0.0,0.0
Solar Photovoltaic,PJM,62326,1.0,40.770516,-74.072239,,1526.0,0.0,0.0
Solar Photovoltaic,PJM,62325,1.5,40.78976,-74.071521,,2539.0,0.0,0.0
Solar Photovoltaic,PJM,62323,1.8,39.44752,-76.32095,,2155.0,0.0,0.0
Solar Photovoltaic,PJM,62306,5.5,40.446574,-74.154627,,7860.0,0.0,0.0
Solar Photovoltaic,PJM,62329,5.0,35.845354,-76.801491,,11010.0,0.0,0.0
Solar Photovoltaic,PJM,62225,1.5,40.652,-74.908,,402.0,0.0,0.0
Solar Photovoltaic,PJM,62200,200.0,39.076972,-83.906046,,386518.0,0.0,0.0
Solar Photovoltaic,PJM,62208,4.0,39.127,-77.216,,6821.0,0.0,0.0
Solar Photovoltaic,PJM,62330,5.0,36.311822,-76.125847,,9909.0,0.0,0.0
Solar Photovoltaic,PJM,62331,2.5,38.85,-76.95,,3957.0,0.0,0.0
Solar Photovoltaic,PJM,62332,7.5,39.35,-75.85,,12051.0,0.0,0.0
Solar Photovoltaic,PJM,62454,1.0,40.0709,-74.1808,,751.0,0.0,0.0
Solar Photovoltaic,PJM,62438,0.2,40.4987,-74.3878,,1606.999,0.0,0.0
Solar Photovoltaic,PJM,62438,0.2,40.4987,-74.3878,,1606.999,0.0,0.0
Solar Photovoltaic,PJM,62438,0.8,40.4987,-74.3878,,1606.999,0.0,0.0
Solar Photovoltaic,PJM,62439,2.8,39.838784,-75.052996,,4426.0,0.0,0.0
Solar Photovoltaic,PJM,62408,3.0,40.427558,-76.57313,,5178.0,0.0,0.0
Solar Photovoltaic,PJM,62407,1.0,39.13728,-76.498041,,1677.0,0.0,0.0
Solar Photovoltaic,PJM,62355,1.3,36.875877,-76.200935,,1495.0,0.0,0.0
Solar Photovoltaic,PJM,62340,80.0,36.29116,-77.066561,,192141.0,0.0,0.0
Solar Photovoltaic,PJM,62405,2.0,38.583064,-76.13475,,3459.0,0.0,0.0
Solar Photovoltaic,PJM,62374,5.9,38.852655,-77.009291,,8472.0,0.0,0.0
Solar Photovoltaic,PJM,61985,142.4,37.138889,-76.902222,,260163.0,0.0,0.0
Solar Photovoltaic,PJM,61965,8.8,40.522818,-74.944168,,13235.0,0.0,0.0
Solar Photovoltaic,PJM,61986,97.9,37.173916,-76.919245,,143230.0,0.0,0.0
Solar Photovoltaic,PJM,62014,165.0,38.247123,-77.786223,,299603.0,0.0,0.0
Solar Photovoltaic,PJM,62013,240.0,38.247123,-77.786223,,461394.0,0.0,0.0
Solar Photovoltaic,PJM,62012,75.0,38.247123,-77.786223,,140677.0,0.0,0.0
Solar Photovoltaic,PJM,62011,20.0,38.247123,-77.786223,,38216.0,0.0,0.0
Solar Photovoltaic,PJM,61915,1.3,39.019083,-76.759479,,362.0,0.0,0.0
Solar Photovoltaic,PJM,61908,15.0,36.660483,-76.56093,,31019.0,0.0,0.0
Solar Photovoltaic,PJM,61907,7.5,40.032087,-74.647387,,11905.0,0.0,0.0
Solar Photovoltaic,PJM,61914,3.0,40.795166,-76.882525,,4737.0,0.0,0.0
Solar Photovoltaic,PJM,61934,1.4,39.723644,-75.545978,,2117.0,0.0,0.0
Solar Photovoltaic,PJM,62119,1.5,40.817019,-77.844117,,2220.0,0.0,0.0
Solar Photovoltaic,PJM,62140,15.0,37.57245,-76.46734,,27709.0,0.0,0.0
Solar Photovoltaic,PJM,62043,1.5,38.82,-76.87,,2848.0,0.0,0.0
Solar Photovoltaic,PJM,62041,3.7,41.443122,-81.751526,,4135.0,0.0,0.0
Solar Photovoltaic,PJM,62027,0.7,40.838568,-74.312476,,1010.0,0.0,0.0
Solar Photovoltaic,PJM,62054,5.0,36.157401,-76.489563,,8585.0,0.0,0.0
Solar Photovoltaic,PJM,62074,1.7,39.035986,-76.054316,,2819.0,0.0,0.0
Solar Photovoltaic,PJM,62912,10.0,39.64913,-77.67837,,17183.0,0.0,0.0
Solar Photovoltaic,PJM,62910,1.0,39.149037,-77.317948,,1686.0,0.0,0.0
Solar Photovoltaic,PJM,62906,2.9,41.099995,-74.731032,,4449.0,0.0,0.0
Solar Photovoltaic,PJM,62905,4.5,40.053,-74.556,,7496.0,0.0,0.0
Solar Photovoltaic,PJM,62904,1.3,40.254975,-74.380834,,2025.0,0.0,0.0
Solar Photovoltaic,PJM,62903,4.5,40.257726,-74.441969,,12238.0,0.0,0.0
Solar Photovoltaic,PJM,62903,6.1,40.257726,-74.441969,,12238.0,0.0,0.0
Solar Photovoltaic,PJM,62951,65.0,36.533,-78.105,,103155.0,0.0,0.0
Solar Photovoltaic,PJM,62950,49.9,36.811533,-78.483909,,70313.0,0.0,0.0
Solar Photovoltaic,PJM,62948,4.0,37.938056,-75.473611,,5805.0,0.0,0.0
Solar Photovoltaic,PJM,62948,0.1,37.938056,-75.473611,,5805.0,0.0,0.0
Solar Photovoltaic,PJM,62948,0.1,37.938056,-75.473611,,5805.0,0.0,0.0
Solar Photovoltaic,PJM,62948,0.1,37.938056,-75.473611,,5805.0,0.0,0.0
Solar Photovoltaic,PJM,62946,3.0,40.1976,-77.2197,,4383.0,0.0,0.0
Solar Photovoltaic,PJM,62942,6.3,41.012786,-81.764344,,11195.0,0.0,0.0
Solar Photovoltaic,PJM,62941,2.6,41.000755,-81.75074,,3587.0,0.0,0.0
Solar Photovoltaic,PJM,62957,5.4,40.52132,-74.347394,,6231.0,0.0,0.0
